name,run_id,f1,f1_weighted,recall,precision,auc,accuracy,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
baseline-e-daic-woz-modalities:audiovisual-run-2,2,0.2222222222222222,0.7163120567375888,0.16666666666666666,0.3333333333333333,0.45833333333333337,0.75,e-daic-woz,validation,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,last
baseline-e-daic-woz-modalities:audiovisual-run-2,2,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.6325757575757576,0.7142857142857143,e-daic-woz,validation,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mean
baseline-e-daic-woz-modalities:audiovisual-run-2,2,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.6325757575757576,0.7142857142857143,e-daic-woz,validation,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mode
baseline-e-daic-woz-modalities:audiovisual-run-2,2,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.6363636363636364,0.7142857142857143,e-daic-woz,validation,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,threshold
baseline-e-daic-woz-modalities:audiovisual-run-2,2,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.6363636363636364,0.7142857142857143,e-daic-woz,validation,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mode_threshold
