name,run_id,f1,recall,precision,auc,accuracy,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-model-size-ablation:pt-0.50-spw-4-nl-8-nh8-hd32-run-3,3,0.6132075471698114,0.6310679611650486,0.5963302752293578,0.5625423346127795,0.5661375661375662,d-vlog,test,baseline,4,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,last
dvlog-baseline-model-size-ablation:pt-0.50-spw-4-nl-8-nh8-hd32-run-3,3,0.7345132743362832,0.8058252427184466,0.6747967479674797,0.7406863851885302,0.6825396825396826,d-vlog,test,baseline,4,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mean
dvlog-baseline-model-size-ablation:pt-0.50-spw-4-nl-8-nh8-hd32-run-3,3,0.7130434782608696,0.7961165048543689,0.6456692913385826,0.6364303454504403,0.6507936507936508,d-vlog,test,baseline,4,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold
