name,run_id,f1,recall,precision,auc,accuracy,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-model-size-ablation:pt-0.25-spw-8-nl-8-nh8-hd32-run-1,1,0.6718749999999999,0.8775510204081632,0.5443037974683544,0.5655328798185941,0.5531914893617021,d-vlog,validation,baseline,8,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,last
dvlog-baseline-model-size-ablation:pt-0.25-spw-8-nl-8-nh8-hd32-run-1,1,0.7627118644067796,0.9183673469387755,0.6521739130434783,0.779138321995465,0.7021276595744681,d-vlog,validation,baseline,8,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mean
dvlog-baseline-model-size-ablation:pt-0.25-spw-8-nl-8-nh8-hd32-run-1,1,0.7627118644067796,0.9183673469387755,0.6521739130434783,0.6925170068027211,0.7021276595744681,d-vlog,validation,baseline,8,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold
