name,run_id,f1,recall,precision,auc,accuracy,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-model-size-ablation:pt-0.25-spw-3-nl-8-nh8-hd32-run-3,3,0.6371681415929205,0.7346938775510204,0.5625,0.6412698412698414,0.5638297872340425,d-vlog,validation,baseline,3,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,last
dvlog-baseline-model-size-ablation:pt-0.25-spw-3-nl-8-nh8-hd32-run-3,3,0.7843137254901962,0.8163265306122449,0.7547169811320755,0.7981859410430838,0.7659574468085106,d-vlog,validation,baseline,3,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mean
dvlog-baseline-model-size-ablation:pt-0.25-spw-3-nl-8-nh8-hd32-run-3,3,0.7843137254901962,0.8163265306122449,0.7547169811320755,0.763718820861678,0.7659574468085106,d-vlog,validation,baseline,3,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold
