name,run_id,f1,recall,precision,auc,accuracy,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-model-size-ablation:pt-0.50-spw-5-nl-8-nh8-hd32-run-3,3,0.6612903225806451,0.8367346938775511,0.5466666666666666,0.5705215419501134,0.5531914893617021,d-vlog,validation,baseline,5,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,last
dvlog-baseline-model-size-ablation:pt-0.50-spw-5-nl-8-nh8-hd32-run-3,3,0.7326732673267328,0.7551020408163265,0.7115384615384616,0.7777777777777777,0.7127659574468085,d-vlog,validation,baseline,5,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mean
dvlog-baseline-model-size-ablation:pt-0.50-spw-5-nl-8-nh8-hd32-run-3,3,0.7326732673267328,0.7551020408163265,0.7115384615384616,0.7108843537414966,0.7127659574468085,d-vlog,validation,baseline,5,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold
